  1	735		51.69	<.0001	0.85891809
  2	611		41.46	<.0001	0.75883534
  3	869		26.38	<.0001	0.70002297
  4	697		17.11	<.0001	0.66380762
  5	396		12.09	<.0001	0.63915399
  6	154		11.99	<.0001	0.61556419
  7	432		11.88	<.0001	0.59303438
  8	824		9.99	<.0001	0.57465887
  9	642		9.36	<.0001	0.55791805
 10	797		8.23	<.0001	0.54357259
 11	879		7.27	<.0001	0.53116673
 12	847		7.45	<.0001	0.51874319
 13	723		6.91	0.0001	0.50745410
 14	200		5.70	0.0007	0.49829736
 15	102		5.57	0.0009	0.48949812
 16	103		4.84	0.0024	0.48196059
 17	648		4.77	0.0026	0.47464447
 18	663		4.64	0.0032	0.46762668
 19	972		5.16	0.0015	0.45994415
 20	979		4.67	0.0030	0.45308040
 21	782		4.88	0.0023	0.44601219
 22	977		4.55	0.0036	0.43951004
 23	 61		4.60	0.0033	0.43303019
 24	122		4.32	0.0049	0.42702815
 25	 37		3.90	0.0088	0.42166948
 26	759		4.17	0.0060	0.41600764
 27	 69		4.10	0.0067	0.41051026
 28	 32		4.10	0.0066	0.40507199
 29	 43		3.55	0.0141	0.40041471
 30		611	1.74	0.1577	0.40269348
 31	865		4.01	0.0075	0.39747578
 32	 24		3.72	0.0113	0.39269046
 33	100		4.04	0.0072	0.38754612
 34	763		3.83	0.0096	0.38272498
 35	493		3.40	0.0173	0.37848875
 36		432	1.73	0.1595	0.38064062
 37	255		3.54	0.0144	0.37626108
 38	 80		3.51	0.0149	0.37195780
 39	590		3.33	0.0191	0.36792069
 40	171		3.27	0.0207	0.36399387
 41	956		3.25	0.0214	0.36013253
 42	825		3.47	0.0158	0.35604841
 43	532		3.38	0.0178	0.35210447
 44	465		3.20	0.0228	0.34840873
 45	241		3.22	0.0223	0.34472974
 46	 16		3.21	0.0225	0.34109411
 47	545		3.17	0.0237	0.33753417
 48	712		3.41	0.0172	0.33374768
 49	588		3.21	0.0226	0.33021909
 50	907		3.47	0.0158	0.32644096
 51	997		3.63	0.0126	0.32252736
 52	632		3.76	0.0106	0.31851858
 53	 34		3.30	0.0198	0.31503373
 54	303		3.32	0.0193	0.31156502
 55	 18		3.40	0.0173	0.30804781
 56	109		3.52	0.0147	0.30444548
 57	292		3.17	0.0238	0.30123693
 58	279		3.26	0.0210	0.29796756
 59	711		3.06	0.0275	0.29492649
 60	628		3.39	0.0177	0.29159352
 61	793		3.55	0.0142	0.28814255
 62	651		3.36	0.0184	0.28490878
 63	953		3.09	0.0265	0.28195955
 64	 26		3.03	0.0285	0.27909008
 65		103	1.63	0.1819	0.28062771
 66	989		2.97	0.0310	0.27782964
